trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.82064466589267,"{0: 9, 1: 4, 2: 10, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.6670813860172,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.50157494532965,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.20863212495063,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.8457106265323,"{0: 6, 1: 3, 2: 10, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.77095588435537,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.94883622048832,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.00331840432507,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.99393009261968,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.09451617900662,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.9955478740084,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.580183111754195,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.80457880541684,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.03816029076307,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.19006433874587,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.69060534221362,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.68760272827656,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.98856701737076,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.16864074629092,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.25412858960024,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-80.7015775268242,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-92.70085814231524,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-212.6568623467463,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.07577813092671,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.64152335153176,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.28779045686875,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.29021464952962,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-152.0695055543397,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.67965678138538,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.45053451850687,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
